"sample_id","source_file","label","element_html","parent_html","sr_transcript","sr_status_announcement","sr_role_state_value","sr_label_instruction","sr_focus_order","sr_link_purpose","sr_headings_labels","sr_reading_order","sr_keyboard_trap","sr_focus_context","sr_input_context","sr_sensory_reference"
"buttons-empty-button::sample-0","buttons-empty-button.html","inaccessible","<main><button></button></main>","<body><h1>A button</h1><main><button></button></main></body>","[""main"",""button"",""end of main""]","","","","","","","","","","",""
"forms-empty-label-found::sample-0","forms-empty-label-found.html","inaccessible","<main><form><label for=""empty""></label><input id=""empty"" type=""text"" value=""""></form></main>","<body><h1>A label found</h1><main><form><label for=""empty""></label><input id=""empty"" type=""text"" value=""""></form></main></body>","[""main"",""form"",""textbox"",""end of form"",""end of main""]","","","","","","","","","","",""
"forms-field-hint-not-associated-with-input::sample-0","forms-field-hint-not-associated-with-input.html","inaccessible","<main><form><label class=""form-label"" for=""ni-number"">
National Insurance number
</label><p class=""form-hint"">It'll be on your last payslip. For example, JH 21 90 0A.</p><input class=""form-control"" id=""ni-number"" type=""text""></form></main>","<body><h1>Field hint</h1><main><form><label class=""form-label"" for=""ni-number"">
National Insurance number
</label><p class=""form-hint"">It'll be on your last payslip. For example, JH 21 90 0A.</p><input class=""form-control"" id=""ni-number"" type=""text""></form></main></body>","[""main"",""form"",""National Insurance number"",""paragraph"",""It'll be on your last payslip. For example, JH 21 90 0A."",""end of paragraph"",""textbox, National Insurance number"",""end of form"",""end of main""]","","","","","","","","","","",""
"forms-form-element-has-no-label::sample-0","forms-form-element-has-no-label.html","inaccessible","<main><form><input type=""text""></form></main>","<body><h1>Form element</h1><main><form><input type=""text""></form></main></body>","[""main"",""form"",""textbox"",""end of form"",""end of main""]","","","","","","","","","","",""
"forms-label-element-with-for-attribute-but-not-matching-id-attribute-of-form-control::sample-0","forms-label-element-with-for-attribute-but-not-matching-id-attribute-of-form-control.html","inaccessible","<input id=""label-for-not-matching"" type=""checkbox"" value=""yes"">","<fieldset><legend>A normal form</legend><label id=""not-matching-anything"">form</label><input id=""label-for-not-matching"" type=""checkbox"" value=""yes""></fieldset>","[""checkbox, not checked""]","","{""before"":{""phrase"":""checkbox, not checked"",""html"":""<input id=\""label-for-not-matching\"" type=\""checkbox\"" value=\""yes\"">""},""after"":{""phrase"":""checkbox, checked"",""html"":""<input id=\""label-for-not-matching\"" type=\""checkbox\"" value=\""yes\"" checked=\""\"">""}}","","","","","","","","",""
"forms-labels-missing-when-they-would-look-clumsy-for-some-form-controls::sample-0","forms-labels-missing-when-they-would-look-clumsy-for-some-form-controls.html","inaccessible","<main><form><label for=""missing-labels-day"">Your child's date of birth</label><p><input id=""missing-labels-day"" type=""text""><input id=""missing-labels-month"" type=""text""><input id=""missing-labels-year"" type=""text""></p></form></main>","<body><h1>A form</h1><main><form><label for=""missing-labels-day"">Your child's date of birth</label><p><input id=""missing-labels-day"" type=""text""><input id=""missing-labels-month"" type=""text""><input id=""missing-labels-year"" type=""text""></p></form></main></body>","[""main"",""form"",""Your child's date of birth"",""paragraph"",""textbox, Your child's date of birth"",""textbox"",""textbox"",""end of paragraph"",""end of form"",""end of main""]","","","","","","","","","","",""
"forms-missing-labels-in-checkboxes::sample-0","forms-missing-labels-in-checkboxes.html","inaccessible","<input id=""nationality_british"" name=""nationality.british"" type=""checkbox"" value=""true"">","<fieldset><legend>What is your nationality?</legend><label>British (including English, Scottish, Welsh and Northern Irish)</label><input id=""nationality_british"" name=""nationality.british"" type=""checkbox"" value=""true""><label>Irish</label><input id=""nationality_irish"" name=""nationality.irish"" type=""checkbox"" value=""true""><label>Citizen of a different country</label><input id=""nationality_hasOtherCountry"" name=""nationality.hasOtherCountry"" type=""checkbox"" value=""true""></fieldset>","[""checkbox, not checked""]","","{""before"":{""phrase"":""checkbox, not checked"",""html"":""<input id=\""nationality_british\"" name=\""nationality.british\"" type=\""checkbox\"" value=\""true\"">""},""after"":{""phrase"":""checkbox, checked"",""html"":""<input id=\""nationality_british\"" name=\""nationality.british\"" type=\""checkbox\"" value=\""true\"" checked=\""\"">""}}","","","","","","","","",""
"forms-missing-labels-in-checkboxes::sample-1","forms-missing-labels-in-checkboxes.html","inaccessible","<input id=""nationality_irish"" name=""nationality.irish"" type=""checkbox"" value=""true"">","<fieldset><legend>What is your nationality?</legend><label>British (including English, Scottish, Welsh and Northern Irish)</label><input id=""nationality_british"" name=""nationality.british"" type=""checkbox"" value=""true""><label>Irish</label><input id=""nationality_irish"" name=""nationality.irish"" type=""checkbox"" value=""true""><label>Citizen of a different country</label><input id=""nationality_hasOtherCountry"" name=""nationality.hasOtherCountry"" type=""checkbox"" value=""true""></fieldset>","[""checkbox, not checked""]","","{""before"":{""phrase"":""checkbox, not checked"",""html"":""<input id=\""nationality_irish\"" name=\""nationality.irish\"" type=\""checkbox\"" value=\""true\"">""},""after"":{""phrase"":""checkbox, checked"",""html"":""<input id=\""nationality_irish\"" name=\""nationality.irish\"" type=\""checkbox\"" value=\""true\"" checked=\""\"">""}}","","","","","","","","",""
"forms-missing-labels-in-checkboxes::sample-2","forms-missing-labels-in-checkboxes.html","inaccessible","<input id=""nationality_hasOtherCountry"" name=""nationality.hasOtherCountry"" type=""checkbox"" value=""true"">","<fieldset><legend>What is your nationality?</legend><label>British (including English, Scottish, Welsh and Northern Irish)</label><input id=""nationality_british"" name=""nationality.british"" type=""checkbox"" value=""true""><label>Irish</label><input id=""nationality_irish"" name=""nationality.irish"" type=""checkbox"" value=""true""><label>Citizen of a different country</label><input id=""nationality_hasOtherCountry"" name=""nationality.hasOtherCountry"" type=""checkbox"" value=""true""></fieldset>","[""checkbox, not checked""]","","{""before"":{""phrase"":""checkbox, not checked"",""html"":""<input id=\""nationality_hasOtherCountry\"" name=\""nationality.hasOtherCountry\"" type=\""checkbox\"" value=\""true\"">""},""after"":{""phrase"":""checkbox, checked"",""html"":""<input id=\""nationality_hasOtherCountry\"" name=\""nationality.hasOtherCountry\"" type=\""checkbox\"" value=\""true\"" checked=\""\"">""}}","","","","","","","","",""
"forms-two-unique-labels-but-identical-for-attributes::sample-0","forms-two-unique-labels-but-identical-for-attributes.html","inaccessible","<main><form><label for=""two-labels-day"">Date of issue</label><p><label for=""two-labels-day"">Day</label><input id=""two-labels-day"" type=""text""><label for=""two-labels-month"">Month</label><input id=""two-labels-month"" type=""text""><label for=""two-labels-year"">Year</label><input id=""two-labels-year"" type=""text""></p></form></main>","<body><h1>Two unique labels </h1><main><form><label for=""two-labels-day"">Date of issue</label><p><label for=""two-labels-day"">Day</label><input id=""two-labels-day"" type=""text""><label for=""two-labels-month"">Month</label><input id=""two-labels-month"" type=""text""><label for=""two-labels-year"">Year</label><input id=""two-labels-year"" type=""text""></p></form></main></body>","[""main"",""form"",""Date of issue"",""paragraph"",""Day"",""textbox, Date of issue Day"",""Month"",""textbox, Month"",""Year"",""textbox, Year"",""end of paragraph"",""end of form"",""end of main""]","","","","","","","","","","",""
